Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area,FIR_Number,Police_Station,State_UT
MP-AP-2026-001,IND-USR-001,18–25,Male,13.622051,79.410896,19:00,Monday,Clear,Visakhapatnam RTC Complex,12.18,35.27,Visakhapatnam RTC Complex,3.5,Tirupati Temple Zone,FIR-854/2026-AP,Tirupati Urban PS,Andhra Pradesh
MP-AP-2026-002,IND-USR-002,41–60,Male,17.688148,83.210113,11:45,Wednesday,Dense Fog,Tirupati Temple Zone,9.53,57.86,Tirupati Temple Zone,33.0,Tirupati Temple Zone,FIR-703/2026-AP,Visakhapatnam City PS,Andhra Pradesh
MP-AP-2026-003,IND-USR-003,18–25,Female,17.697225,83.221612,23:00,Thursday,Clear,Vijayawada Junction Terminal,26.19,51.47,Visakhapatnam RTC Complex,59.8,Vijayawada Junction Terminal,FIR-926/2026-AP,Visakhapatnam City PS,Andhra Pradesh
MP-AP-2026-004,IND-USR-004,41–60,Male,16.493287,80.652838,13:00,Thursday,Dense Fog,Tirupati Temple Zone,22.04,51.71,Visakhapatnam RTC Complex,16.5,Tirupati Temple Zone,FIR-891/2026-AP,Vijayawada Central PS,Andhra Pradesh
MP-AP-2026-005,IND-USR-005,26–40,Male,27.589374,91.849534,20:45,Wednesday,Thunderstorm,Itanagar Clock Tower,12.22,26.21,Tawang Monastery Zone,74.0,Itanagar Clock Tower,FIR-846/2026-AP,Tawang District PS,Arunachal Pradesh
MP-AP-2026-006,IND-USR-006,41–60,Male,27.081435,93.592286,21:45,Saturday,Heatwave,Itanagar Clock Tower,9.0,16.98,Itanagar Clock Tower,71.8,Tawang Monastery Zone,FIR-680/2026-AP,Itanagar Capital PS,Arunachal Pradesh
MP-AP-2026-007,IND-USR-007,60+,Male,27.57768,91.874326,07:00,Tuesday,Monsoon Rain,Tawang Monastery Zone,36.27,31.11,Tawang Monastery Zone,7.0,Tawang Monastery Zone,FIR-621/2026-AP,Tawang District PS,Arunachal Pradesh
MP-AP-2026-008,IND-USR-008,41–60,Female,27.591509,91.847837,09:30,Thursday,Monsoon Rain,Tawang Monastery Zone,22.06,57.69,Tawang Monastery Zone,84.2,Itanagar Clock Tower,FIR-649/2026-AP,Tawang District PS,Arunachal Pradesh
MP-ASS-2026-009,IND-USR-009,26–40,Female,27.48305,94.91223,11:00,Friday,Dense Fog,Guwahati Paltan Bazaar,23.52,15.59,Guwahati Paltan Bazaar,35.5,Dibrugarh Junction Terminal,FIR-303/2026-ASS,Dibrugarh Town PS,Assam
MP-ASS-2026-010,IND-USR-010,60+,Male,27.48414,94.925408,23:15,Tuesday,Heatwave,Guwahati Paltan Bazaar,42.77,18.26,Guwahati Paltan Bazaar,51.1,Guwahati Paltan Bazaar,FIR-187/2026-ASS,Dibrugarh Town PS,Assam
MP-ASS-2026-011,IND-USR-011,60+,Female,27.46977,94.917151,09:15,Tuesday,Clear,Guwahati Paltan Bazaar,17.2,39.42,Guwahati Paltan Bazaar,22.9,Dibrugarh Junction Terminal,FIR-482/2026-ASS,Dibrugarh Town PS,Assam
MP-ASS-2026-012,IND-USR-012,41–60,Male,26.136368,91.748363,22:15,Wednesday,Heatwave,Guwahati Paltan Bazaar,12.0,16.62,Guwahati Paltan Bazaar,89.9,Guwahati Paltan Bazaar,FIR-980/2026-ASS,Guwahati Central PS,Assam
MP-BIH-2026-013,IND-USR-013,41–60,Female,24.782112,84.988108,19:45,Sunday,Clear,Patna Junction Terminal,31.28,59.21,Gaya Pilgrim Corridor,10.3,Gaya Pilgrim Corridor,FIR-541/2026-BIH,Gaya Town PS,Bihar
MP-BIH-2026-014,IND-USR-014,60+,Male,24.782148,85.001289,14:45,Tuesday,Clear,Gaya Pilgrim Corridor,21.61,53.07,Patna Junction Terminal,53.3,Patna Junction Terminal,FIR-243/2026-BIH,Gaya Town PS,Bihar
MP-BIH-2026-015,IND-USR-015,60+,Male,25.584089,85.137169,11:45,Monday,Heatwave,Patna Junction Terminal,14.14,49.2,Patna Junction Terminal,44.2,Patna Junction Terminal,FIR-318/2026-BIH,Patna Junction PS,Bihar
MP-BIH-2026-016,IND-USR-016,18–25,Female,24.785301,85.014261,07:00,Friday,Heatwave,Gaya Pilgrim Corridor,24.12,52.64,Patna Junction Terminal,16.0,Patna Junction Terminal,FIR-693/2026-BIH,Gaya Town PS,Bihar
MP-CHH-2026-017,IND-USR-017,26–40,Male,21.256656,81.621656,08:45,Saturday,Thunderstorm,Raipur Junction Hub,26.74,25.82,Raipur Junction Hub,25.8,Raipur Junction Hub,FIR-222/2026-CHH,Raipur City PS,Chhattisgarh
MP-CHH-2026-018,IND-USR-018,41–60,Male,21.182726,81.355265,06:45,Friday,Thunderstorm,Raipur Junction Hub,44.84,13.66,Bhilai Steel City Hub,21.2,Bhilai Steel City Hub,FIR-568/2026-CHH,Bhilai Sector 6 PS,Chhattisgarh
MP-CHH-2026-019,IND-USR-019,60+,Female,21.205178,81.346986,22:00,Saturday,Thunderstorm,Raipur Junction Hub,15.57,43.17,Bhilai Steel City Hub,90.2,Raipur Junction Hub,FIR-261/2026-CHH,Bhilai Sector 6 PS,Chhattisgarh
MP-CHH-2026-020,IND-USR-020,26–40,Female,21.258673,81.619263,12:30,Friday,Heatwave,Bhilai Steel City Hub,13.55,55.41,Raipur Junction Hub,5.8,Raipur Junction Hub,FIR-388/2026-CHH,Raipur City PS,Chhattisgarh
MP-GOA-2026-021,IND-USR-021,26–40,Female,15.268607,73.947125,23:45,Friday,Clear,Margao Railway Junction,7.7,57.25,Panaji Church Square,66.6,Panaji Church Square,FIR-368/2026-GOA,Margao Station PS,Goa
MP-GOA-2026-022,IND-USR-022,18–25,Female,15.496794,73.814055,12:15,Saturday,Clear,Panaji Church Square,17.85,37.99,Margao Railway Junction,84.1,Panaji Church Square,FIR-473/2026-GOA,Panaji Town PS,Goa
MP-GOA-2026-023,IND-USR-023,41–60,Female,15.510342,73.813544,13:30,Tuesday,Clear,Panaji Church Square,19.07,11.94,Panaji Church Square,45.7,Panaji Church Square,FIR-854/2026-GOA,Panaji Town PS,Goa
MP-GOA-2026-024,IND-USR-024,18–25,Male,15.508516,73.83894,18:30,Wednesday,Clear,Margao Railway Junction,43.61,23.96,Margao Railway Junction,61.9,Margao Railway Junction,FIR-328/2026-GOA,Panaji Town PS,Goa
MP-GUJ-2026-025,IND-USR-025,41–60,Male,21.181511,72.823936,09:45,Wednesday,Dense Fog,Surat Textile City Hub,21.33,59.21,Ahmedabad Kalupur Station,12.0,Ahmedabad Kalupur Station,FIR-694/2026-GUJ,Surat Central PS,Gujarat
MP-GUJ-2026-026,IND-USR-026,26–40,Female,23.007551,72.584167,19:00,Saturday,Dense Fog,Surat Textile City Hub,29.17,43.17,Ahmedabad Kalupur Station,12.8,Surat Textile City Hub,FIR-651/2026-GUJ,Ahmedabad Kalupur PS,Gujarat
MP-GUJ-2026-027,IND-USR-027,26–40,Female,21.167272,72.82497,18:15,Friday,Thunderstorm,Surat Textile City Hub,15.64,37.4,Surat Textile City Hub,1.0,Surat Textile City Hub,FIR-230/2026-GUJ,Surat Central PS,Gujarat
MP-GUJ-2026-028,IND-USR-028,60+,Male,21.16915,72.829365,08:30,Friday,Thunderstorm,Ahmedabad Kalupur Station,17.08,50.92,Surat Textile City Hub,72.4,Surat Textile City Hub,FIR-318/2026-GUJ,Surat Central PS,Gujarat
MP-HAR-2026-029,IND-USR-029,18–25,Female,28.370233,77.308245,19:15,Saturday,Heatwave,Gurugram Cyber City,23.76,22.2,Gurugram Cyber City,63.3,Gurugram Cyber City,FIR-586/2026-HAR,Faridabad Central PS,Haryana
MP-HAR-2026-030,IND-USR-030,60+,Male,28.485277,77.103239,23:15,Sunday,Clear,Gurugram Cyber City,22.17,50.07,Faridabad NIT Hub,64.4,Gurugram Cyber City,FIR-630/2026-HAR,Gurugram Sector 29 PS,Haryana
MP-HAR-2026-031,IND-USR-031,60+,Female,28.396416,77.32321,13:30,Sunday,Thunderstorm,Faridabad NIT Hub,23.35,21.96,Faridabad NIT Hub,42.8,Faridabad NIT Hub,FIR-586/2026-HAR,Faridabad Central PS,Haryana
MP-HAR-2026-032,IND-USR-032,26–40,Male,28.379091,77.317105,18:15,Saturday,Monsoon Rain,Gurugram Cyber City,5.7,30.38,Faridabad NIT Hub,52.5,Faridabad NIT Hub,FIR-241/2026-HAR,Faridabad Central PS,Haryana
MP-HP-2026-033,IND-USR-033,18–25,Female,32.215684,76.331494,21:00,Wednesday,Dense Fog,Shimla Mall Road,34.65,52.67,Shimla Mall Road,91.6,Dharamshala Square,FIR-812/2026-HP,Dharamshala Town PS,Himachal Pradesh
MP-HP-2026-034,IND-USR-034,41–60,Female,32.212188,76.322969,11:45,Tuesday,Thunderstorm,Shimla Mall Road,25.43,55.35,Dharamshala Square,57.2,Shimla Mall Road,FIR-498/2026-HP,Dharamshala Town PS,Himachal Pradesh
MP-HP-2026-035,IND-USR-035,60+,Female,31.115806,77.163852,12:45,Wednesday,Dense Fog,Shimla Mall Road,34.97,28.96,Dharamshala Square,72.4,Shimla Mall Road,FIR-366/2026-HP,Shimla Sadar PS,Himachal Pradesh
MP-HP-2026-036,IND-USR-036,26–40,Male,32.204581,76.324583,07:00,Tuesday,Monsoon Rain,Dharamshala Square,38.25,41.07,Shimla Mall Road,23.7,Dharamshala Square,FIR-458/2026-HP,Dharamshala Town PS,Himachal Pradesh
MP-JHA-2026-037,IND-USR-037,18–25,Male,22.810584,86.210907,15:00,Friday,Clear,Ranchi Main Road Hub,42.01,38.79,Ranchi Main Road Hub,87.3,Jamshedpur Bistupur Hub,FIR-271/2026-JHA,Bistupur PS,Jharkhand
MP-JHA-2026-038,IND-USR-038,18–25,Female,22.807363,86.212817,09:00,Wednesday,Thunderstorm,Jamshedpur Bistupur Hub,20.99,28.53,Ranchi Main Road Hub,49.1,Ranchi Main Road Hub,FIR-348/2026-JHA,Bistupur PS,Jharkhand
MP-JHA-2026-039,IND-USR-039,60+,Male,22.792766,86.216724,19:15,Saturday,Thunderstorm,Ranchi Main Road Hub,43.55,23.5,Jamshedpur Bistupur Hub,77.8,Jamshedpur Bistupur Hub,FIR-750/2026-JHA,Bistupur PS,Jharkhand
MP-JHA-2026-040,IND-USR-040,41–60,Female,22.799269,86.195265,13:45,Friday,Thunderstorm,Jamshedpur Bistupur Hub,31.06,26.82,Jamshedpur Bistupur Hub,48.0,Jamshedpur Bistupur Hub,FIR-188/2026-JHA,Bistupur PS,Jharkhand
MP-KAR-2026-041,IND-USR-041,41–60,Male,12.974045,77.633551,22:15,Monday,Monsoon Rain,KSR Bengaluru Majestic,33.24,34.43,Indiranagar 100ft Road,73.0,KSR Bengaluru Majestic,FIR-386/2026-KAR,Indiranagar PS,Karnataka
MP-KAR-2026-042,IND-USR-042,41–60,Male,12.304925,76.663988,18:15,Wednesday,Thunderstorm,Indiranagar 100ft Road,18.5,37.67,Mysore Palace Zone,33.7,Mysore Palace Zone,FIR-195/2026-KAR,Devaraja PS Mysuru,Karnataka
MP-KAR-2026-043,IND-USR-043,26–40,Male,12.311286,76.648327,12:30,Monday,Thunderstorm,Mysore Palace Zone,42.94,44.51,Indiranagar 100ft Road,19.2,Indiranagar 100ft Road,FIR-357/2026-KAR,Devaraja PS Mysuru,Karnataka
MP-KAR-2026-044,IND-USR-044,41–60,Male,12.307888,76.663006,12:30,Tuesday,Dense Fog,Indiranagar 100ft Road,10.54,10.71,Indiranagar 100ft Road,51.7,Mysore Palace Zone,FIR-711/2026-KAR,Devaraja PS Mysuru,Karnataka
MP-KER-2026-045,IND-USR-045,60+,Male,9.987523,76.265588,06:30,Thursday,Heatwave,Thiruvananthapuram Central,21.5,19.22,Thiruvananthapuram Central,5.9,Kochi MG Road Hub,FIR-989/2026-KER,Ernakulam Central PS,Kerala
MP-KER-2026-046,IND-USR-046,18–25,Male,9.981352,76.279111,10:30,Monday,Monsoon Rain,Thiruvananthapuram Central,7.97,48.22,Thiruvananthapuram Central,58.6,Kochi MG Road Hub,FIR-802/2026-KER,Ernakulam Central PS,Kerala
