User_ID,Date_Only,Trajectory_Risk_Score,Risk_Level,ML_Anomaly_Label,ML_Anomaly_Score,Rule_Based_Anomaly,ML_Anomaly_Binary,Both_Anomaly,Dominant_Direction,Direction_Changes
5,2009-01-14,98.6707658065402,High Risk,Anomaly,-0.21988174510517733,1,1,1,North,5949
5,2009-01-16,86.5793384303614,High Risk,Anomaly,-0.16458039149100434,1,1,1,North,4650
3,2009-01-20,80.35534066087794,High Risk,Anomaly,-0.21906398298034824,1,1,1,South-East,1614
3,2009-02-14,80.34348485497735,High Risk,Anomaly,-0.1024601630205404,1,1,1,North,4939
3,2009-04-03,79.62513949158233,High Risk,Anomaly,-0.1152165822836726,1,1,1,North,4404
0,2009-04-03,79.62513949158233,High Risk,Anomaly,-0.1152165822836726,1,1,1,North,4404
2,2008-11-01,79.60071125366737,High Risk,Anomaly,-0.14034616263012212,1,1,1,West,3681
2,2009-01-31,78.28206421247269,High Risk,Anomaly,-0.23096476870464333,1,1,1,East,781
5,2009-01-13,78.05228254599251,High Risk,Anomaly,-0.13773700864686567,1,1,1,North,3387
3,2009-02-21,76.55896816703664,High Risk,Anomaly,-0.08881021009284895,1,1,1,North,4428
3,2009-03-22,76.29144487348967,High Risk,Anomaly,-0.21825651975780713,1,1,1,North-West,670
4,2009-01-20,74.82883451024223,Medium Risk,Anomaly,-0.1970914122957591,1,1,1,North-East,926
5,2008-11-30,74.6653111233125,Medium Risk,Anomaly,-0.1017881756417276,1,1,1,North,3607
8,2008-11-19,72.82171857616322,Medium Risk,Anomaly,-0.13666253493580105,1,1,1,North,2173
3,2009-02-04,72.80794370827854,Medium Risk,Anomaly,-0.18300951206207472,1,1,1,North,847
2,2009-01-28,72.75003284601452,Medium Risk,Anomaly,-0.11451578730173084,1,1,1,East,2788
1,2008-12-13,71.83586757695073,Medium Risk,Anomaly,-0.0770753036127989,1,1,1,North,3639
7,2008-11-01,71.53091812192821,Medium Risk,Anomaly,-0.09432974982406905,1,1,1,North,3074
3,2009-01-25,71.4442916921334,Medium Risk,Anomaly,-0.07416077338673133,1,1,1,North,3629
3,2009-03-20,70.18987987248553,Medium Risk,Anomaly,-0.16552520093050815,1,1,1,South-East,723
1,2008-11-05,68.43201038639899,Medium Risk,Anomaly,-0.06810593281063093,1,1,1,North,3085
1,2008-10-25,67.19070340085226,Medium Risk,Anomaly,-0.06777721675075055,1,1,1,West,2799
5,2008-11-01,66.82366137805968,Medium Risk,Anomaly,-0.032515934744821284,1,1,1,North,3718
2,2009-01-29,66.66940233825989,Medium Risk,Anomaly,-0.1256600800996761,1,1,1,South-West,1023
2,2009-01-27,66.50862716272023,Medium Risk,Anomaly,-0.08052069261150174,1,1,1,North,2273
7,2008-10-26,65.72738981912502,Medium Risk,Anomaly,-0.04243659445683545,1,1,1,East,3174
8,2008-11-05,65.47957231521693,Medium Risk,Anomaly,-0.06812127420511671,1,1,1,North,2382
2,2009-01-24,64.75609048466401,Medium Risk,Anomaly,-0.12039399640244564,1,1,1,West,718
3,2008-11-07,64.11586079744455,Medium Risk,Anomaly,-0.020520365140222596,1,1,1,North,3416
2,2009-02-14,63.91767512370162,Medium Risk,Anomaly,-0.05572903305900445,1,1,1,South,2364
6,2008-12-07,63.11677193955939,Medium Risk,Anomaly,-0.028413158504616676,1,1,1,North-West,2953
2,2009-01-30,61.91038999214877,Medium Risk,Anomaly,-0.10525140292092061,1,1,1,North-East,473
3,2009-03-21,61.39197720053957,Medium Risk,Anomaly,-0.1117910454599762,1,1,1,South-East,163
3,2009-06-28,60.41511508107868,Medium Risk,Anomaly,-0.017660143639359638,1,1,1,North,2617
0,2009-06-28,60.41511508107868,Medium Risk,Anomaly,-0.017660143639359638,1,1,1,North,2617
8,2008-11-07,59.873107467049095,Medium Risk,Anomaly,-0.10091385291718158,1,1,1,North,112
3,2008-12-22,59.86734786234769,Medium Risk,Normal,0.0007124860534265531,1,0,0,North,3011
4,2009-02-07,59.82720330197479,Medium Risk,Normal,0.006057797014500599,1,0,0,North,3154
2,2008-10-26,58.87114585922397,Medium Risk,Anomaly,-0.0006871072633237718,1,1,1,North,2734
4,2009-05-23,58.39449379938458,Medium Risk,Anomaly,-0.018962650247277946,1,1,1,North,2099
